project_id,sprint,velocity,progress,blocked,reopened,scope_change,defects,lead_time,throughput,delay
39,11,88.76,51.42,2,1,4.3,2,9.94,38.11,0
52,4,68.73,68.51,1,1,9.89,4,4.21,33.04,0
29,8,53.29,66.62,4,4,10.03,3,7.36,20.75,1
15,3,45.34,71.56,0,0,22.06,7,16.23,20.83,1
43,9,46.99,57.22,0,0,10.08,3,7.16,25.62,1
8,2,31.16,74.87,3,1,7.78,2,9.36,43.85,0
21,2,59.97,70.08,1,0,8.14,3,7.64,20.05,0
39,12,34.78,94.32,3,1,11.61,2,12.0,49.23,1
58,12,44.41,56.85,1,2,13.6,2,13.47,43.0,0
19,7,60.06,78.69,2,1,4.79,2,13.42,36.72,1
23,12,46.44,81.17,1,0,13.94,5,10.27,25.06,1
11,10,42.62,86.62,3,1,7.19,6,14.53,51.28,0
11,4,32.04,69.55,0,1,13.22,5,6.63,29.81,1
24,10,68.08,78.31,2,2,5.52,4,9.19,23.68,1
53,8,37.5,80.3,1,1,15.44,3,8.83,25.73,0
36,9,41.21,50.27,4,0,8.82,1,14.73,14.51,1
40,7,23.12,70.08,1,1,10.01,6,1.95,20.37,1
24,5,49.7,74.51,4,3,8.31,5,4.03,22.37,0
3,8,45.0,76.27,5,0,8.95,2,3.9,28.59,1
22,4,52.73,76.09,3,2,8.41,3,9.51,27.9,1
53,2,32.38,81.56,0,1,0.85,1,8.79,15.55,0
2,11,61.01,100.0,3,0,6.73,2,3.05,26.2,1
24,12,22.41,66.07,0,2,10.39,3,13.01,27.28,1
44,6,48.62,80.72,1,0,23.11,2,13.33,25.26,1
30,9,51.73,94.52,4,1,2.83,1,10.54,32.21,1
38,1,50.87,48.02,2,1,2.69,1,4.63,33.55,1
2,11,52.37,79.02,1,2,4.49,4,20.54,35.55,1
21,10,61.83,49.79,1,2,8.88,3,13.32,16.19,1
33,12,69.87,100.0,0,2,6.88,4,14.55,20.57,0
12,7,47.67,82.83,3,0,5.11,4,6.13,23.73,1
58,10,35.48,80.81,1,0,14.41,2,6.24,37.74,0
22,9,58.41,46.9,2,0,9.16,3,5.17,32.28,1
